transaction_id,donor_id,committee_id,candidate_name,amount,date
SA11C.6543,D6000578214,C00578542,"Perdue, David",5000.0,2021-01-05
SA11AI.6577,D8741491284,C00578542,"Perdue, David",2500.0,2021-01-05
SA11AI.6575,D1031000131,C00578542,"Perdue, David",2500.0,2021-01-05
SA11AI.6573,D5341093219,C00578542,"Perdue, David",2000.0,2021-01-05
SA11AI.6560,D5817041904,C00578542,"Perdue, David",1000.0,2021-01-05
SA11AI.6564,D5324804207,C00578542,"Perdue, David",1000.0,2021-01-05
SA11AI.6579,D7344409271,C00578542,"Perdue, David",1000.0,2021-01-05
SA11AI.6562,D4083853807,C00578542,"Perdue, David",1000.0,2021-01-05
SA11AI.6568,D8162932953,C00578542,"Perdue, David",750.0,2021-01-05
SA11C.6521,D4516903180,C00578542,"Perdue, David",5000.0,2021-01-04
SA11AI.6603,D1105370262,C00578542,"Perdue, David",12500.0,2021-01-04
SA11AI.6566,D7363233607,C00578542,"Perdue, David",12500.0,2021-01-04
SA11AI.6556,D6450754754,C00578542,"Perdue, David",113000.0,2021-01-04
SA11AI.6608,D3337239615,C00578542,"Perdue, David",113000.0,2021-01-04
SA11AI.6549,D8761218016,C00578542,"Perdue, David",10000.0,2021-01-04
SA11AI.6597,D8493709400,C00578542,"Perdue, David",1000.0,2021-01-03
SA11AI.6592,D4268224042,C00578542,"Perdue, David",500.0,2021-01-02
SA14.3087,D1713413581,C00776328,"Saddler, Latham",219.19,2022-08-08
SA14.2487,D6980544401,C00776328,"Saddler, Latham",1088.19,2022-06-30
SA14.2485,D3852892784,C00776328,"Saddler, Latham",1206.0,2022-06-12
SA14.2484,D3852892784,C00776328,"Saddler, Latham",7783.8,2022-06-10
SA11A.24152,D1043431911,C00776328,"Saddler, Latham",2100.0,2022-05-24
SA11A.22630,D1728938151,C00776328,"Saddler, Latham",250.0,2022-05-24
SA11A.22626,D7297849342,C00776328,"Saddler, Latham",500.0,2022-05-23
SA11A.22624,D7903368919,C00776328,"Saddler, Latham",250.0,2022-05-22
SA11C.22621,D7591212560,C00776328,"Saddler, Latham",282.0,2022-05-22
SA11A.22618,D6050745901,C00776328,"Saddler, Latham",500.0,2022-05-22
SA11A.22619,D5883121569,C00776328,"Saddler, Latham",500.0,2022-05-22
SA11A.22615,D3293122376,C00776328,"Saddler, Latham",1000.0,2022-05-20
SA11A.22614,D6247312122,C00776328,"Saddler, Latham",1000.0,2022-05-20
SA11A.22594,D5279712128,C00776328,"Saddler, Latham",2900.0,2022-05-19
SA11A.22610,D4571514684,C00776328,"Saddler, Latham",250.0,2022-05-19
SA11A.22605,D3140350769,C00776328,"Saddler, Latham",400.0,2022-05-19
SA11A.22604,D6765059528,C00776328,"Saddler, Latham",2900.0,2022-05-19
SA11A.22607,D3354858776,C00776328,"Saddler, Latham",2400.0,2022-05-19
SA11A.22606,D6579712290,C00776328,"Saddler, Latham",2900.0,2022-05-19
SA11A.22603,D6215408070,C00776328,"Saddler, Latham",1000.0,2022-05-19
SA11A.24154,D2827912881,C00776328,"Saddler, Latham",900.0,2022-05-18
SA11A.22588,D8410473609,C00776328,"Saddler, Latham",900.0,2022-05-18
SA11A.22591,D7286342813,C00776328,"Saddler, Latham",500.0,2022-05-18
SA11A.22593,D1253013056,C00776328,"Saddler, Latham",1000.0,2022-05-18
SA11A.22613,D4949620316,C00776328,"Saddler, Latham",2500.0,2022-05-18
